,index,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
0,2020-04-06 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
1,2020-04-06 00:30:00,2.0,10.0,3.0,5.0,5.0,-1.0,1.0
2,2020-04-06 01:00:00,7.5,3.5,6.0,5.0,4.5,1.0,1.0
3,2020-04-06 01:30:00,9.0,10.0,2.0,4.0,0.0,-1.0,1.0
4,2020-04-06 02:00:00,4.833333333333333,6.166666666666667,4.333333333333333,8.333333333333334,6.833333333333333,-1.0,1.0
5,2020-04-06 02:30:00,5.0,0.0,4.0,4.0,10.0,-1.0,1.0
6,2020-04-06 03:00:00,7.0,5.5,4.0,9.0,8.5,-1.0,1.0
7,2020-04-06 03:30:00,2.0,0.0,10.0,3.0,4.0,-1.0,1.0
8,2020-04-06 04:00:00,3.0,8.0,3.0,3.0,6.0,-1.0,1.0
9,2020-04-06 04:30:00,10.0,3.0,7.0,8.0,2.0,-1.0,1.0
10,2020-04-06 05:00:00,10.0,10.0,0.0,7.0,5.0,0.0,1.0
11,2020-04-06 05:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
12,2020-04-06 06:00:00,10.0,4.0,0.0,4.0,10.0,1.0,1.0
13,2020-04-06 06:30:00,6.666666666666667,4.666666666666667,3.6666666666666665,3.6666666666666665,3.6666666666666665,0.0,1.0
14,2020-04-06 07:00:00,4.0,5.5,8.0,6.0,3.5,-1.0,1.0
15,2020-04-06 07:30:00,4.0,2.5,1.5,5.0,10.0,-1.0,1.0
16,2020-04-06 08:00:00,5.0,7.0,8.5,9.5,5.0,-1.0,1.0
17,2020-04-06 08:30:00,0.0,5.0,10.0,5.0,7.0,-1.0,1.0
18,2020-04-06 09:00:00,6.0,1.0,6.0,10.0,10.0,-1.0,1.0
19,2020-04-06 09:30:00,8.0,4.0,8.5,3.0,8.0,-1.0,1.0
20,2020-04-06 10:00:00,4.5,1.0,3.0,5.0,6.5,-1.0,1.0
21,2020-04-06 10:30:00,2.0,9.0,9.0,6.0,0.0,-1.0,1.0
22,2020-04-06 11:00:00,1.0,4.0,4.0,8.0,8.0,0.0,1.0
23,2020-04-06 11:30:00,8.0,8.666666666666666,8.0,3.3333333333333335,5.333333333333333,1.0,1.0
24,2020-04-06 12:00:00,4.0,2.6666666666666665,5.333333333333333,7.0,6.0,-1.0,1.0
25,2020-04-06 12:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
26,2020-04-06 13:00:00,9.0,2.0,4.0,8.0,9.0,-1.0,1.0
27,2020-04-06 13:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
28,2020-04-06 14:00:00,9.0,5.25,3.5,5.75,2.75,1.0,1.0
29,2020-04-06 14:30:00,0.5,0.5,2.0,1.75,0.5,0.3333333333333333,1.0
30,2020-04-06 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31,2020-04-06 15:30:00,4.285714285714286,3.5714285714285716,6.428571428571429,3.4285714285714284,3.857142857142857,0.0,1.0
32,2020-04-06 16:00:00,0.9,1.4,2.3,1.2,0.7,0.25,1.0
33,2020-04-06 16:30:00,1.1428571428571428,0.42857142857142855,1.2857142857142858,1.5714285714285714,1.4285714285714286,0.14285714285714285,1.0
34,2020-04-06 17:00:00,2.75,1.75,3.0,2.25,4.75,0.5,1.0
35,2020-04-06 17:30:00,1.8333333333333333,1.8333333333333333,1.1666666666666667,2.1666666666666665,3.6666666666666665,0.75,1.0
36,2020-04-06 18:00:00,0.5,0.0,0.5,0.0,0.0,0.0,1.0
37,2020-04-06 18:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
38,2020-04-06 19:00:00,3.0,7.666666666666667,4.333333333333333,7.0,5.0,0.0,1.0
39,2020-04-06 19:30:00,5.0,1.0,2.6666666666666665,6.0,3.6666666666666665,0.0,1.0
40,2020-04-06 20:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
41,2020-04-06 20:30:00,5.5,1.5,5.0,3.5,5.0,1.0,1.0
42,2020-04-06 21:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
43,2020-04-06 21:30:00,4.0,6.5,5.5,7.5,7.0,0.0,1.0
44,2020-04-06 22:00:00,4.8,6.8,7.6,4.2,7.2,1.0,1.0
45,2020-04-06 22:30:00,9.0,8.0,6.0,3.0,5.0,-1.0,1.0
46,2020-04-06 23:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
47,2020-04-06 23:30:00,5.5,1.0,2.5,5.5,5.5,-1.0,1.0
48,2020-04-07 00:00:00,3.0,4.0,10.0,10.0,0.0,0.0,1.0
49,2020-04-07 00:30:00,5.0,9.0,10.0,4.0,5.0,0.0,1.0
50,2020-04-07 01:00:00,9.666666666666666,6.333333333333333,8.0,9.666666666666666,5.666666666666667,-1.0,1.0
51,2020-04-07 01:30:00,5.5,7.5,8.0,5.5,10.0,-1.0,1.0
52,2020-04-07 02:00:00,6.0,0.0,0.0,10.0,1.0,-1.0,1.0
53,2020-04-07 02:30:00,3.3333333333333335,7.333333333333333,5.0,2.6666666666666665,6.0,-1.0,1.0
54,2020-04-07 03:00:00,9.0,4.0,8.0,6.0,4.0,-1.0,1.0
55,2020-04-07 03:30:00,5.0,5.5,8.0,5.5,3.0,1.0,1.0
56,2020-04-07 04:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
57,2020-04-07 04:30:00,9.666666666666666,7.0,3.3333333333333335,4.333333333333333,5.0,-1.0,1.0
58,2020-04-07 05:00:00,3.5,2.0,6.5,10.0,5.5,0.0,1.0
59,2020-04-07 05:30:00,10.0,4.0,9.0,10.0,7.0,-1.0,1.0
60,2020-04-07 06:00:00,5.0,5.0,4.0,5.0,6.0,-1.0,1.0
61,2020-04-07 06:30:00,4.5,3.5,0.5,5.5,6.5,1.0,1.0
62,2020-04-07 07:00:00,5.5,6.0,7.0,5.5,8.0,1.0,1.0
63,2020-04-07 07:30:00,6.333333333333333,8.333333333333334,8.0,6.666666666666667,7.0,-1.0,1.0
64,2020-04-07 08:00:00,3.0,4.0,4.5,8.5,3.5,-1.0,1.0
65,2020-04-07 08:30:00,7.0,6.5,4.0,5.5,8.5,1.0,1.0
66,2020-04-07 09:00:00,5.0,0.5,3.0,7.0,7.5,-1.0,1.0
67,2020-04-07 09:30:00,3.0,3.5,7.0,7.5,1.5,-1.0,1.0
68,2020-04-07 10:00:00,1.0,1.0,1.0,8.0,4.0,1.0,1.0
69,2020-04-07 10:30:00,7.0,6.0,4.0,6.5,5.5,1.0,1.0
70,2020-04-07 11:00:00,1.5,5.0,1.5,10.0,7.5,-1.0,1.0
71,2020-04-07 11:30:00,2.0,6.0,3.3333333333333335,6.333333333333333,6.333333333333333,-1.0,1.0
72,2020-04-07 12:00:00,2.5,7.0,7.0,5.5,7.5,-1.0,1.0
73,2020-04-07 12:30:00,10.0,3.0,3.0,7.0,4.0,1.0,1.0
74,2020-04-07 13:00:00,4.0,6.0,7.5,4.5,5.5,0.0,1.0
75,2020-04-07 13:30:00,6.0,5.0,5.0,8.0,8.0,-1.0,1.0
76,2020-04-07 14:00:00,4.666666666666667,6.0,7.0,5.666666666666667,4.333333333333333,-1.0,1.0
77,2020-04-07 14:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
78,2020-04-07 15:00:00,8.0,10.0,3.0,7.0,2.0,-1.0,1.0
79,2020-04-07 15:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
80,2020-04-07 16:00:00,7.0,0.0,4.0,10.0,9.0,-1.0,1.0
81,2020-04-07 16:30:00,6.0,4.0,2.0,9.0,10.0,0.0,1.0
82,2020-04-07 17:00:00,2.0,5.0,5.0,3.0,4.0,1.0,1.0
83,2020-04-07 17:30:00,4.0,3.0,8.0,7.0,6.0,-1.0,1.0
84,2020-04-07 18:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
85,2020-04-07 18:30:00,5.0,3.0,7.0,10.0,6.0,0.0,1.0
86,2020-04-07 19:00:00,6.5,4.0,6.0,9.0,1.0,-1.0,1.0
87,2020-04-07 19:30:00,5.0,4.0,7.0,10.0,5.0,-1.0,1.0
88,2020-04-07 20:00:00,2.3333333333333335,7.666666666666667,0.6666666666666666,6.666666666666667,7.666666666666667,0.0,1.0
89,2020-04-07 20:30:00,3.6666666666666665,8.0,1.3333333333333333,1.0,5.0,-1.0,1.0
90,2020-04-07 21:00:00,6.0,7.0,9.0,5.0,1.0,-1.0,1.0
91,2020-04-07 21:30:00,5.0,6.0,0.0,7.0,4.0,-1.0,1.0
92,2020-04-07 22:00:00,8.0,5.0,6.5,8.5,1.0,-1.0,1.0
93,2020-04-07 22:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
94,2020-04-07 23:00:00,0.0,8.0,5.0,1.0,10.0,-1.0,1.0
95,2020-04-07 23:30:00,5.75,6.25,7.75,6.0,7.0,1.0,1.0
96,2020-04-08 00:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
97,2020-04-08 00:30:00,3.5,6.5,2.5,7.5,6.5,-1.0,1.0
98,2020-04-08 01:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
99,2020-04-08 01:30:00,8.5,6.5,6.5,5.0,7.5,0.0,1.0
100,2020-04-08 02:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
101,2020-04-08 02:30:00,5.333333333333333,3.6666666666666665,2.6666666666666665,7.333333333333333,7.333333333333333,-1.0,1.0
102,2020-04-08 03:00:00,6.0,4.5,4.0,5.5,6.5,-1.0,1.0
103,2020-04-08 03:30:00,6.0,6.5,7.5,9.0,3.5,-1.0,1.0
104,2020-04-08 04:00:00,3.6666666666666665,6.0,8.0,4.666666666666667,7.666666666666667,0.0,1.0
105,2020-04-08 04:30:00,1.5,10.0,4.0,4.5,7.0,-1.0,1.0
106,2020-04-08 05:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
107,2020-04-08 05:30:00,6.0,10.0,3.0,9.0,10.0,-1.0,1.0
108,2020-04-08 06:00:00,4.0,1.5,3.0,2.0,6.5,-1.0,1.0
109,2020-04-08 06:30:00,6.5,4.5,7.75,6.25,6.25,0.5,1.0
110,2020-04-08 07:00:00,9.25,1.25,6.25,6.75,4.25,-1.0,1.0
111,2020-04-08 07:30:00,7.5,8.5,6.0,8.0,6.0,-1.0,1.0
112,2020-04-08 08:00:00,8.0,6.0,2.0,1.0,8.0,0.0,1.0
113,2020-04-08 08:30:00,6.546712802768166,7.186851211072664,5.546712802768166,6.0,6.633217993079585,1.0,1.0
114,2020-04-08 09:00:00,5.73758865248227,6.0638297872340425,5.273049645390071,5.560283687943262,5.868794326241135,1.0,1.0
115,2020-04-08 09:30:00,5.398989898989899,5.51010101010101,5.171717171717172,5.232323232323233,5.41919191919192,1.0,1.0
116,2020-04-08 10:00:00,4.589147286821706,4.457364341085271,4.813953488372093,4.728682170542636,4.651162790697675,0.9452054794520548,1.0
117,2020-04-08 10:30:00,2.260869565217391,1.3043478260869565,4.086956521739131,2.9130434782608696,2.1449275362318843,0.7014925373134329,1.0
118,2020-04-08 11:00:00,1.9298245614035088,0.8245614035087719,4.140350877192983,3.017543859649123,1.9473684210526316,0.8571428571428571,1.0
119,2020-04-08 11:30:00,2.0,1.2352941176470589,4.117647058823529,2.9705882352941178,1.911764705882353,0.6176470588235294,1.0
120,2020-04-08 12:00:00,2.3181818181818183,1.1363636363636365,3.8636363636363638,3.1363636363636362,2.6818181818181817,0.9047619047619048,1.0
121,2020-04-08 12:30:00,1.9,1.25,3.65,2.8,1.95,0.45,1.0
122,2020-04-08 13:00:00,2.7333333333333334,2.066666666666667,4.0,3.466666666666667,2.7333333333333334,0.38461538461538464,1.0
123,2020-04-08 13:30:00,1.8888888888888888,1.0,4.222222222222222,3.2222222222222223,2.0,0.5555555555555556,1.0
124,2020-04-08 14:00:00,3.3333333333333335,2.2222222222222223,3.5555555555555554,4.222222222222222,3.4444444444444446,0.8571428571428571,1.0
125,2020-04-08 14:30:00,3.0,4.0,4.0,5.0,2.4,0.3333333333333333,1.0
126,2020-04-08 15:00:00,3.0,1.0,4.0,3.0,2.0,1.0,1.0
