,index,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
0,2020-04-06 00:00:00,5.636363636363637,4.848484848484849,4.878787878787879,6.03030303030303,6.151515151515151,0.5,1
1,2020-04-06 00:30:00,2.0,9.0,9.0,6.0,0.0,-1.0,1
2,2020-04-06 01:00:00,1.0,4.0,4.0,8.0,8.0,0.0,1
3,2020-04-06 01:30:00,8.0,8.666666666666666,8.0,3.3333333333333335,5.333333333333333,1.0,1
4,2020-04-06 02:00:00,4.0,2.6666666666666665,5.333333333333333,7.0,6.0,-1.0,1
5,2020-04-06 02:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
6,2020-04-06 03:00:00,9.0,2.0,4.0,8.0,9.0,-1.0,1
7,2020-04-06 03:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
8,2020-04-06 04:00:00,9.0,5.25,3.5,5.75,2.75,1.0,1
9,2020-04-06 04:30:00,0.5,0.5,2.0,1.75,0.5,0.3333333333333333,1
10,2020-04-06 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,1
11,2020-04-06 05:30:00,4.285714285714286,3.5714285714285716,6.428571428571429,3.4285714285714284,3.857142857142857,0.0,1
12,2020-04-06 06:00:00,0.9,1.4,2.3,1.2,0.7,0.25,1
13,2020-04-06 06:30:00,1.1428571428571428,0.42857142857142855,1.2857142857142858,1.5714285714285714,1.4285714285714286,0.14285714285714285,1
14,2020-04-06 07:00:00,2.75,1.75,3.0,2.25,4.75,0.5,1
15,2020-04-06 07:30:00,1.8333333333333333,1.8333333333333333,1.1666666666666667,2.1666666666666665,3.6666666666666665,0.75,1
16,2020-04-06 08:00:00,0.5,0.0,0.5,0.0,0.0,0.0,1
17,2020-04-06 08:30:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
18,2020-04-06 09:00:00,3.0,7.666666666666667,4.333333333333333,7.0,5.0,0.0,1
19,2020-04-06 09:30:00,5.0,1.0,2.6666666666666665,6.0,3.6666666666666665,0.0,1
20,2020-04-06 10:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
21,2020-04-06 10:30:00,5.5,1.5,5.0,3.5,5.0,1.0,1
22,2020-04-06 11:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
23,2020-04-06 11:30:00,4.0,6.5,5.5,7.5,7.0,0.0,1
24,2020-04-06 12:00:00,4.8,6.8,7.6,4.2,7.2,1.0,1
25,2020-04-06 12:30:00,9.0,8.0,6.0,3.0,5.0,-1.0,1
26,2020-04-06 13:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
27,2020-04-06 13:30:00,5.5,1.0,2.5,5.5,5.5,-1.0,1
28,2020-04-06 14:00:00,3.0,4.0,10.0,10.0,0.0,0.0,1
29,2020-04-06 14:30:00,5.0,9.0,10.0,4.0,5.0,0.0,1
30,2020-04-06 15:00:00,9.666666666666666,6.333333333333333,8.0,9.666666666666666,5.666666666666667,-1.0,1
31,2020-04-06 15:30:00,5.5,7.5,8.0,5.5,10.0,-1.0,1
32,2020-04-06 16:00:00,6.0,0.0,0.0,10.0,1.0,-1.0,1
33,2020-04-06 16:30:00,3.3333333333333335,7.333333333333333,5.0,2.6666666666666665,6.0,-1.0,1
34,2020-04-06 17:00:00,9.0,4.0,8.0,6.0,4.0,-1.0,1
35,2020-04-06 17:30:00,5.0,5.5,8.0,5.5,3.0,1.0,1
36,2020-04-06 18:00:00,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
37,2020-04-06 18:30:00,9.666666666666666,7.0,3.3333333333333335,4.333333333333333,5.0,-1.0,1
38,2020-04-06 19:00:00,3.5,2.0,6.5,10.0,5.5,0.0,1
39,2020-04-06 19:30:00,10.0,4.0,9.0,10.0,7.0,-1.0,1
40,2020-04-06 20:00:00,5.0,5.0,4.0,5.0,6.0,-1.0,1
